priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
6.8019214,14.283884,98.0336,6.688,78.2,THERMAX,2024-07-07
6.3443575,13.322941,91.295845,6.231,70.293,THERMAX,2024-07-13
6.006311,12.612943,86.9596,5.892,65.464,THERMAX,2024-07-20
6.122998,12.85798,86.206635,6.009,67.795,THERMAX,2024-07-27
6.122998,12.85798,88.49425,6.009,67.795,THERMAX,2024-07-27
5.8436947,12.643254,80.004814,,,THERMAX,2024-08-03
5.126405,11.050513,69.92616,5.013,57.582,THERMAX,2024-08-10
5.1483145,11.102768,70.426384,4.948,56.835,THERMAX,2024-08-17
5.3738003,11.366702,71.93851,5.16,59.266,THERMAX,2024-08-24
5.143374,11.0921135,69.93123,5.033,57.804,THERMAX,2024-09-01
5.0935025,10.984562,69.44195,4.983,57.231,THERMAX,2024-09-08
5.5641665,11.999588,75.76153,5.453,62.637,THERMAX,2024-09-15
6.2875423,13.559607,85.54248,6.177,70.946,THERMAX,2024-09-21
6.117167,13.192179,83.3312,6.006,68.989,THERMAX,2024-09-28
6.1084037,13.173281,83.33199,5.998,68.888,THERMAX,2024-10-05
6.0643535,13.076889,82.64267,5.953,68.375,THERMAX,2024-10-12
6.1153483,13.186852,81.97099,6.004,68.96,THERMAX,2024-10-19
