quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.574,0.855,20.557,0.03549,0.14109999,0.059660003,0.03513,0.0318,0.14626999,THOMASCOOK,2024-07-07
0.574,0.855,20.557,0.03549,0.14109999,0.059660003,0.03513,0.0318,0.14626999,THOMASCOOK,2024-07-13
0.574,0.855,20.557,0.03549,0.14109999,0.059660003,0.03513,0.0318,0.14626999,THOMASCOOK,2024-07-20
0.574,0.855,20.557,0.03549,0.14109999,0.059660003,0.03513,0.0318,0.14626999,THOMASCOOK,2024-07-27
,,20.557,0.03483,0.14111,0.06162,0.04853,,,THOMASCOOK,2024-08-03
,,20.557,0.03483,0.14111,0.06162,0.04853,,,THOMASCOOK,2024-08-10
,,20.557,0.03483,0.14111,0.06162,0.04853,,,THOMASCOOK,2024-08-17
,,20.557,0.03483,0.14111,0.06162,0.04853,,,THOMASCOOK,2024-08-24
,,20.557,0.03483,0.14111,0.06162,0.04853,,,THOMASCOOK,2024-09-01
,,20.557,0.03483,0.14111,0.06162,0.04853,,,THOMASCOOK,2024-09-08
,,20.557,0.03483,0.14111,0.06162,0.04853,,,THOMASCOOK,2024-09-15
,,20.557,0.03483,0.14111,0.06162,0.04853,,,THOMASCOOK,2024-09-21
,,20.557,0.03483,0.14111,0.06162,0.04853,,,THOMASCOOK,2024-09-28
,,20.557,0.03483,0.14111,0.06162,0.04853,,,THOMASCOOK,2024-10-05
,,20.557,0.03483,0.14111,0.06162,0.04853,,,THOMASCOOK,2024-10-12
,,20.557,0.03483,0.14111,0.06162,0.04853,,,THOMASCOOK,2024-10-19
