quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
2.469,3.078,8.025,0.123730004,0.5199,0.24031,0.13452,0.08854,0.13076,THYROCARE,2024-07-07
2.469,3.078,8.025,0.123730004,0.5199,0.24031,0.13452,0.08854,0.13076,THYROCARE,2024-07-13
2.469,3.078,8.025,0.123730004,0.5199,0.24031,0.13452,0.08854,0.13076,THYROCARE,2024-07-20
,,8.025,0.13071,0.52383,0.24909,0.19935,,,THYROCARE,2024-07-27
,,8.025,0.13071,0.52383,0.24909,0.19935,,,THYROCARE,2024-08-03
,,8.025,0.13071,0.52383,0.24909,0.19935,,,THYROCARE,2024-08-10
,,8.025,0.13071,0.52383,0.24909,0.19935,,,THYROCARE,2024-08-17
,,8.025,0.13071,0.52383,0.24909,0.19935,,,THYROCARE,2024-08-24
,,8.025,0.13071,0.52383,0.24909,0.19935,,,THYROCARE,2024-09-01
,,8.025,0.13071,0.52383,0.24909,0.19935,,,THYROCARE,2024-09-08
,,8.025,0.13071,0.52383,0.24909,0.19935,,,THYROCARE,2024-09-15
,,8.025,0.13071,0.52383,0.24909,0.19935,,,THYROCARE,2024-09-21
,,8.025,0.13071,0.52383,0.24909,0.19935,,,THYROCARE,2024-09-28
,,8.025,0.13071,0.52383,0.24909,0.19935,,,THYROCARE,2024-10-05
,,8.025,0.13071,0.52383,0.24909,0.19935,,,THYROCARE,2024-10-12
,,8.025,0.13071,0.52383,0.24909,0.19935,,,THYROCARE,2024-10-19
