priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
1.4846395,2.9025538,23.929094,1.628,11.559,TIMETECHNO,2024-07-07
1.5295095,2.9921086,24.685444,1.673,11.884,TIMETECHNO,2024-07-13
1.4658251,2.8661997,23.646671,1.609,11.428,TIMETECHNO,2024-07-20
1.5290562,2.991222,24.696194,1.673,11.88,TIMETECHNO,2024-07-27
1.5029941,2.9402378,24.275257,1.647,11.696,TIMETECHNO,2024-08-03
1.4830508,2.9012237,23.918129,1.627,11.555,TIMETECHNO,2024-08-10
1.6952404,3.4159427,26.243187,1.828,12.734,TIMETECHNO,2024-08-17
1.7557454,3.5378613,27.179836,1.902,13.245,TIMETECHNO,2024-08-24
1.762346,3.5511615,27.244898,1.908,13.291,TIMETECHNO,2024-09-01
1.7889681,3.6048057,27.69414,1.935,13.477,TIMETECHNO,2024-09-08
1.9352802,3.8996274,29.938734,2.082,14.498,TIMETECHNO,2024-09-15
1.8215322,3.6695337,28.153063,1.967,13.701,TIMETECHNO,2024-09-21
1.6987623,3.4221494,26.255104,1.844,12.845,TIMETECHNO,2024-09-28
1.6582757,3.3405745,25.6467,1.804,12.562,TIMETECHNO,2024-10-05
1.737484,3.501064,26.87883,1.883,13.118,TIMETECHNO,2024-10-12
1.9986457,4.02731,30.961145,2.145,14.94,TIMETECHNO,2024-10-19
