quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
,,,,,,,,,TOP100CASE,2024-07-07
,,,,,,,,,TOP100CASE,2024-07-13
,,,,,,,,,TOP100CASE,2024-07-20
,,,,,,,,,TOP100CASE,2024-07-27
,,,,,,,,,TOP100CASE,2024-08-03
,,,,,,,,,TOP100CASE,2024-08-10
,,,,,,,,,TOP100CASE,2024-08-17
,,,,,,,,,TOP100CASE,2024-08-24
,,,,,,,,,TOP100CASE,2024-09-01
,,,,,,,,,TOP100CASE,2024-09-08
,,,,,,,,,TOP100CASE,2024-09-15
,,,,,,,,,TOP100CASE,2024-09-21
,,,,,,,,,TOP100CASE,2024-09-28
,,,,,,,,,TOP100CASE,2024-10-05
,,,,,,,,,TOP100CASE,2024-10-12
,,,,,,,,,TOP100CASE,2024-10-19
