quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
7.019,7.572,4.787,0.09559,1.0,0.14833,0.089370005,0.0734,0.10415,TOUCHWOOD,2024-07-07
7.019,7.572,4.787,0.09559,1.0,0.14833,0.089370005,0.0734,0.10415,TOUCHWOOD,2024-07-13
7.019,7.572,4.787,0.09559,1.0,0.14833,0.089370005,0.0734,0.10415,TOUCHWOOD,2024-07-20
7.019,7.572,4.787,0.09559,1.0,0.14833,0.089370005,0.0734,0.10415,TOUCHWOOD,2024-07-27
7.019,7.572,4.787,0.09559,1.0,0.14833,0.089370005,0.0734,0.10415,TOUCHWOOD,2024-08-03
7.019,7.572,4.787,0.09559,1.0,0.14833,0.089370005,0.0734,0.10415,TOUCHWOOD,2024-08-10
,,4.787,0.0954,1.0,0.14592,0.10184,,,TOUCHWOOD,2024-08-17
,,4.787,0.0954,1.0,0.14592,0.10184,,,TOUCHWOOD,2024-08-24
,,4.787,0.0954,1.0,0.14592,0.10184,,,TOUCHWOOD,2024-09-01
,,4.787,0.0954,1.0,0.14592,0.10184,,,TOUCHWOOD,2024-09-08
,,4.787,0.0954,1.0,0.14592,0.10184,,,TOUCHWOOD,2024-09-15
,,4.787,0.0954,1.0,0.14592,0.10184,,,TOUCHWOOD,2024-09-21
,,4.787,0.0954,1.0,0.14592,0.10184,,,TOUCHWOOD,2024-09-28
,,4.787,0.0954,1.0,0.14592,0.10184,,,TOUCHWOOD,2024-10-05
,,4.787,0.0954,1.0,0.14592,0.10184,,,TOUCHWOOD,2024-10-12
,,4.787,0.0954,1.0,0.14592,0.10184,,,TOUCHWOOD,2024-10-19
