priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
2.4449959,5.8527274,38.614174,2.518,21.86,TPLPLASTEH,2024-07-07
2.5589933,6.116482,40.354332,2.628,22.814,TPLPLASTEH,2024-07-13
2.3532586,5.6331306,37.165356,2.427,21.066,TPLPLASTEH,2024-07-20
2.5292547,5.952381,39.271656,2.56,22.22,TPLPLASTEH,2024-07-27
2.487124,5.952381,39.271656,2.56,22.22,TPLPLASTEH,2024-07-27
2.9228764,6.9942718,46.145668,2.994,25.988,TPLPLASTEH,2024-08-03
2.843105,6.6815853,44.08268,2.863,24.857,TPLPLASTEH,2024-08-10
2.6530995,6.5145006,41.352272,2.695,23.123,TPLPLASTEH,2024-08-17
2.861616,7.0115767,44.507572,2.953,25.336,TPLPLASTEH,2024-08-24
2.7838476,6.7985444,43.1553,2.866,24.586,TPLPLASTEH,2024-09-01
2.7262502,6.6941166,42.492424,2.823,24.219,TPLPLASTEH,2024-09-08
2.6732717,6.5526915,41.594696,2.765,23.722,TPLPLASTEH,2024-09-15
2.7519243,6.644588,42.17803,2.803,24.045,TPLPLASTEH,2024-09-21
2.6356022,6.413057,40.708332,2.708,23.23,TPLPLASTEH,2024-09-28
2.4885705,6.085452,38.628788,2.573,22.078,TPLPLASTEH,2024-10-05
2.4868708,6.1063375,38.761364,2.582,22.151,TPLPLASTEH,2024-10-12
2.5094721,6.1618333,39.113636,2.605,22.347,TPLPLASTEH,2024-10-19
