quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.843,2.017,42.729,0.12014,0.42332,0.11933,0.07784,0.102589995,0.43675998,TRENT,2024-07-07
0.843,2.017,42.729,0.12014,0.42332,0.11933,0.07784,0.102589995,0.43675998,TRENT,2024-07-13
0.843,2.017,42.729,0.12014,0.42332,0.11933,0.07784,0.102589995,0.43675998,TRENT,2024-07-20
0.843,2.017,42.729,0.12014,0.42332,0.11933,0.07784,0.102589995,0.43675998,TRENT,2024-07-27
0.843,2.017,42.729,0.12014,0.42332,0.11933,0.07784,0.102589995,0.43675998,TRENT,2024-08-03
0.843,2.017,42.729,0.12014,0.42332,0.11933,0.07784,0.102589995,0.43675998,TRENT,2024-08-10
,,42.729,0.12316,0.42988,0.12292,0.105100006,,,TRENT,2024-08-17
,,42.729,0.12316,0.42988,0.12292,0.105100006,,,TRENT,2024-08-24
,,42.729,0.12316,0.42988,0.12292,0.105100006,,,TRENT,2024-09-01
,,42.729,0.12316,0.42988,0.12292,0.105100006,,,TRENT,2024-09-08
,,42.729,0.12316,0.42988,0.12292,0.105100006,,,TRENT,2024-09-15
,,42.729,0.12316,0.42988,0.12292,0.105100006,,,TRENT,2024-09-21
,,42.729,0.12316,0.42988,0.12292,0.105100006,,,TRENT,2024-09-28
,,42.729,0.12316,0.42988,0.12292,0.105100006,,,TRENT,2024-10-05
,,42.729,0.12316,0.42988,0.12292,0.105100006,,,TRENT,2024-10-12
,,42.729,0.12316,0.42988,0.12292,0.105100006,,,TRENT,2024-10-19
