quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.712,1.373,40.935,0.00074,0.48339,0.026010001,-0.0053600003,-0.0036300002,0.00269,TVSELECT,2024-07-07
0.712,1.373,40.935,0.00074,0.48339,0.026010001,-0.0053600003,-0.0036300002,0.00269,TVSELECT,2024-07-13
0.712,1.373,40.935,0.00074,0.48339,0.026010001,-0.0053600003,-0.0036300002,0.00269,TVSELECT,2024-07-20
0.796,1.373,40.935,0.00074,0.45319998,0.01281,-0.00412,-0.00333,0.00269,TVSELECT,2024-07-27
0.796,1.373,40.935,0.00074,0.45319998,0.01281,-0.00412,-0.00333,0.00269,TVSELECT,2024-08-03
0.796,1.373,40.935,0.00074,0.45319998,0.01281,-0.00412,-0.00333,0.00269,TVSELECT,2024-08-10
,,40.935,-0.00338,0.45203,0.01228,-0.00467,,,TVSELECT,2024-08-17
,,40.935,-0.00338,0.45203,0.01228,-0.00467,,,TVSELECT,2024-08-24
,,40.935,-0.00338,0.45203,0.01228,-0.00467,,,TVSELECT,2024-09-01
,,40.935,-0.00338,0.45203,0.01228,-0.00467,,,TVSELECT,2024-09-08
,,40.935,-0.00338,0.45203,0.01228,-0.00467,,,TVSELECT,2024-09-15
,,40.935,-0.00338,0.45203,0.01228,-0.00467,,,TVSELECT,2024-09-21
,,40.935,-0.00338,0.45203,0.01228,-0.00467,,,TVSELECT,2024-09-28
,,40.935,-0.00338,0.45203,0.01228,-0.00467,,,TVSELECT,2024-10-05
,,40.935,-0.00338,0.45203,0.01228,-0.00467,,,TVSELECT,2024-10-12
,,40.935,-0.00338,0.45203,0.01228,-0.00467,,,TVSELECT,2024-10-19
