quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
3.215,3.869,3.914,0.05922,0.48025,0.09349,0.048779998,0.02706,0.06649,TVTODAY,2024-07-07
3.215,3.869,3.914,0.05922,0.48025,0.09349,0.048779998,0.02706,0.06649,TVTODAY,2024-07-13
3.215,3.869,3.914,0.05922,0.48025,0.09349,0.048779998,0.02706,0.06649,TVTODAY,2024-07-20
3.215,3.869,3.914,0.05922,0.48025,0.09349,0.048779998,0.02706,0.06649,TVTODAY,2024-07-27
3.215,3.869,3.914,0.05922,0.48025,0.09349,0.048779998,0.02706,0.06649,TVTODAY,2024-08-03
,,3.914,0.09507,0.49831,0.1423,0.1926,,,TVTODAY,2024-08-10
,,3.914,0.09507,0.49831,0.1423,0.1926,,,TVTODAY,2024-08-17
,,3.914,0.09507,0.49831,0.1423,0.1926,,,TVTODAY,2024-08-24
,,3.914,0.09507,0.49831,0.1423,0.1926,,,TVTODAY,2024-09-01
,,3.914,0.09507,0.49831,0.1423,0.1926,,,TVTODAY,2024-09-08
,,3.914,0.09507,0.49831,0.1423,0.1926,,,TVTODAY,2024-09-15
,,3.914,0.09507,0.49831,0.1423,0.1926,,,TVTODAY,2024-09-21
,,3.914,0.09507,0.49831,0.1423,0.1926,,,TVTODAY,2024-09-28
,,3.914,0.09507,0.49831,0.1423,0.1926,,,TVTODAY,2024-10-05
,,3.914,0.09507,0.49831,0.1423,0.1926,,,TVTODAY,2024-10-12
,,3.914,0.09507,0.49831,0.1423,0.1926,,,TVTODAY,2024-10-19
