priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
2.0363843,2.655978,18.759045,1.959,11.085,UNIPARTS,2024-07-07
1.9911997,2.5939965,18.347826,1.912,10.818,UNIPARTS,2024-07-13
1.9724225,2.5701773,18.179348,1.894,10.715,UNIPARTS,2024-07-20
1.934325,2.5225387,17.823019,1.857,10.51,UNIPARTS,2024-07-27
2.0148468,2.6254992,18.55049,1.936,10.954,UNIPARTS,2024-08-03
1.9806745,2.510501,17.731548,1.903,10.768,UNIPARTS,2024-08-10
1.9358505,2.4377625,19.158615,1.868,11.06,UNIPARTS,2024-08-17
1.9958619,2.5215142,19.84079,1.945,11.513,UNIPARTS,2024-08-24
1.990791,2.5148551,19.764494,1.94,11.482,UNIPARTS,2024-09-01
1.971129,2.4902673,19.571255,1.92,11.366,UNIPARTS,2024-09-08
1.9918072,2.5163918,19.800484,1.941,11.489,UNIPARTS,2024-09-15
1.9737811,2.4887307,19.58283,1.919,11.358,UNIPARTS,2024-09-21
1.9151759,2.4195778,19.008049,1.864,11.032,UNIPARTS,2024-09-28
1.8918598,2.3834648,18.724346,1.835,10.862,UNIPARTS,2024-10-05
1.8584119,2.347864,18.452093,1.806,10.693,UNIPARTS,2024-10-12
1.882271,2.346071,18.45286,1.805,10.685,UNIPARTS,2024-10-19
