quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.079,0.412,,,1.0,,-0.76879996,-0.39706,,UNIVAFOODS,2024-07-07
0.079,0.412,,,1.0,,-0.76879996,-0.39706,,UNIVAFOODS,2024-07-13
0.079,0.412,,,1.0,,-0.76879996,-0.39706,,UNIVAFOODS,2024-07-20
0.079,0.412,,,1.0,,-0.76879996,-0.39706,,UNIVAFOODS,2024-07-27
0.079,0.412,,,1.0,,-0.76879996,-0.39706,,UNIVAFOODS,2024-08-03
0.079,0.412,,,1.0,,-0.76879996,-0.39706,,UNIVAFOODS,2024-08-10
0.079,0.412,,,1.0,,-0.76879996,-0.39706,,UNIVAFOODS,2024-08-17
,,,,,,,,,UNIVAFOODS,2024-08-24
,,,,,,,,,UNIVAFOODS,2024-09-01
,,,,,,,,,UNIVAFOODS,2024-09-08
,,,,,,,,,UNIVAFOODS,2024-09-15
,,,,,,,,,UNIVAFOODS,2024-09-21
,,,,,,,,,UNIVAFOODS,2024-09-28
,,,,,,,,,UNIVAFOODS,2024-10-05
,,,,,,,,,UNIVAFOODS,2024-10-12
,,,,,,,,,UNIVAFOODS,2024-10-19
