priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
4.7653003,13.507648,75.77474,4.884,43.226,UNOMINDA,2024-07-07
4.182169,11.8608265,66.75375,4.304,38.091,UNOMINDA,2024-07-13
3.8981743,11.055405,62.099087,4.02,35.58,UNOMINDA,2024-07-20
4.2654443,12.096998,68.03851,4.387,38.828,UNOMINDA,2024-07-27
4.1674376,11.819047,66.215866,4.289,37.961,UNOMINDA,2024-08-03
3.9152477,11.686818,63.683544,4.034,36.784,UNOMINDA,2024-08-10
4.499889,13.431942,73.0082,4.426,40.36,UNOMINDA,2024-08-17
4.417977,12.9603815,70.40063,4.461,40.674,UNOMINDA,2024-08-24
4.567789,13.634622,74.06309,4.687,42.734,UNOMINDA,2024-09-01
4.28685,12.796032,69.9492,4.406,40.172,UNOMINDA,2024-09-08
4.116418,12.286723,67.12246,4.235,38.617,UNOMINDA,2024-09-15
4.383537,13.075369,71.385544,4.499,41.025,UNOMINDA,2024-09-21
4.342104,12.960963,70.403786,4.461,40.676,UNOMINDA,2024-09-28
4.051048,12.092175,65.809105,4.17,38.022,UNOMINDA,2024-10-05
3.9012363,11.449296,62.507923,3.954,36.059,UNOMINDA,2024-10-12
3.7315867,11.095044,60.61231,3.836,34.977,UNOMINDA,2024-10-19
