quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.46,1.864,19.467,0.0655,0.19705,0.06711,0.04093,0.01966,0.07081,VASCONEQ,2024-07-07
0.46,1.864,19.467,0.0655,0.19705,0.06711,0.04093,0.01966,0.07081,VASCONEQ,2024-07-13
0.46,1.864,19.467,0.0655,0.19705,0.06711,0.04093,0.01966,0.07081,VASCONEQ,2024-07-20
0.46,1.864,19.467,0.0655,0.19705,0.06711,0.04093,0.01966,0.07081,VASCONEQ,2024-07-27
0.46,1.864,19.467,0.0655,0.19705,0.06711,0.04093,0.01966,0.07081,VASCONEQ,2024-08-03
0.46,1.864,19.467,0.0655,0.19705,0.06711,0.04093,0.01966,0.07081,VASCONEQ,2024-08-10
0.46,1.864,19.467,0.0655,0.19705,0.06711,0.04093,0.01966,0.07081,VASCONEQ,2024-08-17
,,19.467,0.05923,0.19836001,0.067379996,0.055609997,,,VASCONEQ,2024-08-24
,,19.467,0.05923,0.19836001,0.067379996,0.055609997,,,VASCONEQ,2024-09-01
,,19.467,0.05923,0.19836001,0.067379996,0.055609997,,,VASCONEQ,2024-09-08
,,19.467,0.05923,0.19836001,0.067379996,0.055609997,,,VASCONEQ,2024-09-15
,,19.467,0.05923,0.19836001,0.067379996,0.055609997,,,VASCONEQ,2024-09-21
,,19.467,0.05923,0.19836001,0.067379996,0.055609997,,,VASCONEQ,2024-09-28
,,19.467,0.05923,0.19836001,0.067379996,0.055609997,,,VASCONEQ,2024-10-05
,,19.467,0.05923,0.19836001,0.067379996,0.055609997,,,VASCONEQ,2024-10-12
,,19.467,0.05923,0.19836001,0.067379996,0.055609997,,,VASCONEQ,2024-10-19
