quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
1.38,1.972,12.552,0.02115,0.20839001,0.033,0.04581,0.02688,0.05925,VENKEYS,2024-07-07
1.38,1.972,12.552,0.02115,0.20839001,0.033,0.04581,0.02688,0.05925,VENKEYS,2024-07-13
1.38,1.972,12.552,0.02115,0.20839001,0.033,0.04581,0.02688,0.05925,VENKEYS,2024-07-20
1.38,1.972,12.552,0.02115,0.20839001,0.033,0.04581,0.02688,0.05925,VENKEYS,2024-07-27
1.38,1.972,12.552,0.02115,0.20839001,0.033,0.04581,0.02688,0.05925,VENKEYS,2024-08-03
,,12.552,0.03776,0.24058,0.05525,0.12800999,,,VENKEYS,2024-08-10
,,12.552,0.03777,0.2403,0.05491,0.11670999,,,VENKEYS,2024-08-17
,,12.552,0.03777,0.2403,0.05491,0.11670999,,,VENKEYS,2024-08-24
,,12.552,0.03777,0.2403,0.05491,0.11670999,,,VENKEYS,2024-09-01
,,12.552,0.03777,0.2403,0.05491,0.11670999,,,VENKEYS,2024-09-08
,,12.552,0.03777,0.2403,0.05491,0.11670999,,,VENKEYS,2024-09-15
,,12.552,0.03777,0.2403,0.05491,0.11670999,,,VENKEYS,2024-09-21
,,12.552,0.03777,0.2403,0.05491,0.11670999,,,VENKEYS,2024-09-28
,,12.552,0.03777,0.2403,0.05491,0.11670999,,,VENKEYS,2024-10-05
,,12.552,0.03777,0.2403,0.05491,0.11670999,,,VENKEYS,2024-10-12
,,12.552,0.03777,0.2403,0.05491,0.11670999,,,VENKEYS,2024-10-19
