quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
25.686,26.023,109.318,0.068730004,1.0,,0.00241,0.0049,0.00991,VIJIFIN,2024-07-07
25.686,26.023,109.318,0.068730004,1.0,,0.00241,0.0049,0.00991,VIJIFIN,2024-07-13
25.686,26.023,109.318,0.068730004,1.0,,0.00241,0.0049,0.00991,VIJIFIN,2024-07-20
25.686,26.023,109.318,0.068730004,1.0,,0.00241,0.0049,0.00991,VIJIFIN,2024-07-27
,,109.318,-0.030269999,1.0,,-0.29572,,,VIJIFIN,2024-08-03
,,109.318,-0.030269999,1.0,,-0.29572,,,VIJIFIN,2024-08-10
,,109.318,-0.030269999,1.0,,-0.29572,,,VIJIFIN,2024-08-17
,,109.318,-0.030269999,1.0,,-0.29572,,,VIJIFIN,2024-08-24
,,109.318,-0.030269999,1.0,,-0.29572,,,VIJIFIN,2024-09-01
,,109.318,-0.030269999,1.0,,-0.29572,,,VIJIFIN,2024-09-08
,,109.318,-0.030269999,1.0,,-0.29572,,,VIJIFIN,2024-09-15
,,109.318,-0.030269999,1.0,,-0.29572,,,VIJIFIN,2024-09-21
,,109.318,-0.030269999,1.0,,-0.29572,,,VIJIFIN,2024-09-28
,,109.318,-0.030269999,1.0,,-0.29572,,,VIJIFIN,2024-10-05
,,109.318,-0.030269999,1.0,,-0.29572,,,VIJIFIN,2024-10-12
,,109.318,-0.030269999,1.0,,-0.29572,,,VIJIFIN,2024-10-19
