quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.905,1.618,0.42,0.03658,0.059660003,0.046880003,0.05776,0.0725,0.18983999,VINYLINDIA,2024-07-07
0.897,1.618,0.424,0.03659,0.059660003,0.046830002,0.057800002,0.072519995,0.18987,VINYLINDIA,2024-07-13
0.897,1.618,0.424,0.03659,0.059660003,0.046830002,0.057800002,0.072519995,0.18987,VINYLINDIA,2024-07-20
0.897,1.618,0.424,0.03659,0.059660003,0.046830002,0.057800002,0.072519995,0.18987,VINYLINDIA,2024-07-27
0.897,1.618,0.424,0.03659,0.059660003,0.046830002,0.057800002,0.072519995,0.18987,VINYLINDIA,2024-08-03
,,0.424,0.0365,0.059169997,0.04796,0.0392,,,VINYLINDIA,2024-08-10
,,0.424,0.0365,0.059169997,0.04796,0.0392,,,VINYLINDIA,2024-08-17
,,0.424,0.0365,0.059169997,0.04796,0.0392,,,VINYLINDIA,2024-08-24
,,0.424,0.0365,0.059169997,0.04796,0.0392,,,VINYLINDIA,2024-09-01
,,0.424,0.0365,0.059169997,0.04796,0.0392,,,VINYLINDIA,2024-09-08
,,0.424,0.0365,0.059169997,0.04796,0.0392,,,VINYLINDIA,2024-09-15
,,0.424,0.0365,0.059169997,0.04796,0.0392,,,VINYLINDIA,2024-09-21
,,0.424,0.0365,0.059169997,0.04796,0.0392,,,VINYLINDIA,2024-09-28
,,0.424,0.0365,0.059169997,0.04796,0.0392,,,VINYLINDIA,2024-10-05
,,0.424,0.0365,0.059169997,0.04796,0.0392,,,VINYLINDIA,2024-10-12
,,0.424,0.0365,0.059169997,0.04796,0.0392,,,VINYLINDIA,2024-10-19
