priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
3.047568,10.1012745,126.44357,3.417,39.634,VIPIND,2024-07-07
2.946387,9.768933,121.328125,3.317,38.47,VIPIND,2024-07-13
2.9340553,9.71501,122.09211,3.302,54.932,VIPIND,2024-07-20
2.9789562,9.863682,123.311516,3.347,55.679,VIPIND,2024-07-27
2.9799216,9.863682,123.311516,3.347,55.679,VIPIND,2024-07-27
2.8765063,9.524458,119.07069,3.244,53.975,VIPIND,2024-08-03
2.840761,9.417665,11243.75,3.208,73.634,VIPIND,2024-08-10
2.768447,9.16534,10942.501,3.097,71.075,VIPIND,2024-08-17
2.9358358,9.669989,9236.0,3.284,75.38,VIPIND,2024-08-24
3.0751147,10.192436,9735.0,3.442,78.997,VIPIND,2024-09-01
3.1631355,10.479312,10009.0,3.528,80.983,VIPIND,2024-09-08
3.1773486,10.531661,10059.0,3.544,81.345,VIPIND,2024-09-15
3.1555471,10.44476,9976.0,3.518,80.744,VIPIND,2024-09-21
3.5077496,11.626811,9254.167,3.874,88.926,VIPIND,2024-09-28
3.56209,11.805846,9396.667,3.928,90.165,VIPIND,2024-10-05
3.5355356,11.463481,10949.0,3.825,87.796,VIPIND,2024-10-12
3.286324,10.892872,10404.0,3.653,83.846,VIPIND,2024-10-19
