quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.278,0.54,109.573,0.030539999,0.15735,0.14247,0.061240003,0.060399998,0.09269,VRLLOG,2024-07-07
0.278,0.54,109.573,0.030620001,0.16264,0.094,0.06057,0.05901,0.09269,VRLLOG,2024-07-13
0.278,0.54,109.573,0.030620001,0.16264,0.094,0.06057,0.05901,0.09269,VRLLOG,2024-07-20
0.278,0.54,109.573,0.030620001,0.16264,0.094,0.06057,0.05901,0.09269,VRLLOG,2024-07-27
0.278,0.54,109.573,0.030620001,0.16264,0.094,0.06057,0.05901,0.09269,VRLLOG,2024-08-03
,,109.573,0.02317,0.15324001,0.08252,0.039419997,,,VRLLOG,2024-08-10
,,109.573,0.02317,0.15324001,0.08252,0.039419997,,,VRLLOG,2024-08-17
,,109.573,0.02317,0.15324001,0.08252,0.039419997,,,VRLLOG,2024-08-24
,,109.573,0.02317,0.15324001,0.08252,0.039419997,,,VRLLOG,2024-09-01
,,109.573,0.02317,0.15324001,0.08252,0.039419997,,,VRLLOG,2024-09-08
,,109.573,0.02317,0.15324001,0.08252,0.039419997,,,VRLLOG,2024-09-15
,,109.573,0.02317,0.15324001,0.08252,0.039419997,,,VRLLOG,2024-09-21
,,109.573,0.02317,0.15324001,0.08252,0.039419997,,,VRLLOG,2024-09-28
,,109.573,0.02317,0.15324001,0.08252,0.039419997,,,VRLLOG,2024-10-05
,,109.573,0.02317,0.15324001,0.08252,0.039419997,,,VRLLOG,2024-10-12
,,109.573,0.02317,0.15324001,0.08252,0.039419997,,,VRLLOG,2024-10-19
