quickRatio,currentRatio,debtToEquity,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,symbol,Date
0.164,0.783,12.904,-0.02157,0.34884,0.07072,-0.00084,0.01021,-0.02712,WINDMACHIN,2024-07-07
0.164,0.783,12.904,-0.02157,0.34884,0.07072,-0.00084,0.01021,-0.02712,WINDMACHIN,2024-07-13
0.164,0.783,12.904,-0.02157,0.34884,0.07072,-0.00084,0.01021,-0.02712,WINDMACHIN,2024-07-20
0.164,0.783,12.904,-0.02157,0.34884,0.07072,-0.00084,0.01021,-0.02712,WINDMACHIN,2024-07-27
0.164,0.783,12.904,-0.02157,0.34884,0.07072,-0.00084,0.01021,-0.02712,WINDMACHIN,2024-08-03
0.164,0.783,12.904,-0.02157,0.34884,0.07072,-0.00084,0.01021,-0.02712,WINDMACHIN,2024-08-10
0.164,0.783,12.904,-0.02157,0.34884,0.07072,-0.00084,0.01021,-0.02712,WINDMACHIN,2024-08-17
,,12.904,-0.022869999,0.3427,0.065570004,-0.0311,,,WINDMACHIN,2024-08-24
,,12.904,-0.022869999,0.3427,0.065570004,-0.0311,,,WINDMACHIN,2024-09-01
,,12.904,-0.022869999,0.3427,0.065570004,-0.0311,,,WINDMACHIN,2024-09-08
,,12.904,-0.022869999,0.3427,0.065570004,-0.0311,,,WINDMACHIN,2024-09-15
,,12.904,-0.022869999,0.3427,0.065570004,-0.0311,,,WINDMACHIN,2024-09-21
,,12.904,-0.022869999,0.3427,0.065570004,-0.0311,,,WINDMACHIN,2024-09-28
,,12.904,-0.022869999,0.3427,0.065570004,-0.0311,,,WINDMACHIN,2024-10-05
,,12.904,-0.022869999,0.3427,0.065570004,-0.0311,,,WINDMACHIN,2024-10-12
,,12.904,-0.022869999,0.3427,0.065570004,-0.0311,,,WINDMACHIN,2024-10-19
