priceToSalesTrailing12Months,priceToBook,trailingPE,enterpriseToRevenue,enterpriseToEbitda,symbol,Date
3.1330924,4.195985,,3.258,46.068,WINDMACHIN,2024-07-07
3.0535915,4.089514,,3.178,44.943,WINDMACHIN,2024-07-13
2.8653023,3.8297925,,2.984,42.199,WINDMACHIN,2024-07-20
3.1658387,4.2398405,,3.291,46.532,WINDMACHIN,2024-07-27
3.0836077,4.1287403,,3.208,45.358,WINDMACHIN,2024-08-03
3.1350935,4.198665,,3.26,46.097,WINDMACHIN,2024-08-10
3.1418257,4.191112,,3.245,45.883,WINDMACHIN,2024-08-17
3.4995444,4.8379793,,3.609,55.046,WINDMACHIN,2024-08-24
3.5904827,4.9636974,,3.7,56.429,WINDMACHIN,2024-09-01
3.5473046,4.9040055,,3.657,55.772,WINDMACHIN,2024-09-08
3.6542788,5.0358152,,3.752,57.222,WINDMACHIN,2024-09-15
3.5520632,4.910584,,3.661,55.844,WINDMACHIN,2024-09-21
3.5406077,4.8947473,,3.65,55.67,WINDMACHIN,2024-09-28
3.4366276,4.750999,,3.546,54.088,WINDMACHIN,2024-10-05
3.5132902,4.805575,,3.586,54.689,WINDMACHIN,2024-10-12
3.6401823,5.0012183,,3.727,56.842,WINDMACHIN,2024-10-19
