Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-12-20,378.976545781797,401.71513852870487,365.7123666794341,367.3230285644531,4340,0.0,0.0
2006-12-21,358.60658531276533,378.0291348475386,358.60658531276533,373.6708984375,928,0.0,0.0
2006-12-22,365.2386360731449,388.4509488715679,364.9544152369776,374.3814392089844,6204,0.0,0.0
2006-12-26,369.9758642640565,377.0816747172714,369.69164341137457,370.4495849609375,160,0.0,0.0
2006-12-27,371.3970396873032,376.1342468261719,365.7123911206608,376.1342468261719,1497,0.0,0.0
2006-12-28,378.9765775433248,379.9240189871831,367.8915010847352,369.0284423828125,348,0.0,0.0
2006-12-29,371.3970229135201,371.3970229135201,364.8596831398575,365.7597351074219,581,0.0,0.0
2007-01-02,369.502103202585,378.97651610521535,364.76489675126976,370.3074340820313,1962,0.0,0.0
2007-01-03,378.0291389914303,425.8749322723005,378.0291389914303,405.4575805664063,16768,0.0,0.0
2007-01-04,425.9696439370472,450.9820902167665,417.34792172370936,434.9703369140625,120743,0.0,0.0
2007-01-05,442.4550851138879,442.4550851138879,426.5854434101242,431.9858703613281,13810,0.0,0.0
2007-01-08,433.9281511543469,454.8666113923345,423.506295995618,440.1338806152344,39519,0.0,0.0
2007-01-09,449.89251244019727,449.89251244019727,426.4433399862171,427.864501953125,21474,0.0,0.0
2007-01-10,426.348624439686,450.9821005184234,417.82165195089226,435.1124572753906,65286,0.0,0.0
2007-01-11,435.8230247889556,440.56023158014,426.3959717090526,430.2804870605469,9350,0.0,0.0
2007-01-12,438.57061399356144,440.5602466968512,422.5588602726788,427.1065673828125,7507,0.0,0.0
2007-01-15,440.5602560404456,443.4025802729646,428.2435176995299,434.8282470703125,13383,0.0,0.0
2007-01-16,440.5602715559498,440.5602715559498,426.34864989285467,426.5855102539063,4317,0.0,0.0
2007-01-17,435.8230285184473,439.612793983825,422.5588493896249,430.7542114257813,18039,0.0,0.0
2007-01-18,426.44338499222,436.7704905922637,421.6587885171712,429.7594299316406,13155,0.0,0.0
2007-01-19,428.2435395085767,436.7705126403845,423.9800529426727,431.74908447265625,11046,0.0,0.0
2007-01-22,434.7808462394691,443.4973185558509,427.4855649156606,440.6076049804688,15832,0.0,0.0
2007-01-23,437.7179529059876,448.4240297990633,436.7705114494812,437.2442321777344,113599,0.0,0.0
2007-01-24,444.3500072192121,449.84515565775575,437.7179175592238,440.5602416992188,52871,0.0,0.0
2007-01-25,440.5602930888568,457.6142399181029,437.71796861731576,442.9762573242188,104480,0.0,0.0
2007-01-29,383.713783537585,449.0872429550995,383.713783537585,443.9236755371094,4092,0.0,0.0
2007-01-31,439.1390641506373,445.2974329035588,437.8126520481157,443.3078002929688,6226,0.0,0.0
2007-02-01,440.5602535726708,450.03466762799707,438.9022311129887,442.4077758789063,5408,0.0,0.0
2007-02-02,448.13980129893815,452.7822585740682,445.2027270510418,449.8451843261719,4979,0.0,0.0
2007-02-05,448.1397584419772,459.4143047215365,380.44506243534863,450.5083618164063,14410,0.0,0.0
2007-02-06,464.24631278254776,464.24631278254776,445.29748368938255,447.3818664550781,5193,0.0,0.0
2007-02-07,468.9835505924596,468.9835505924596,451.219022160927,454.5824279785156,41751,0.0,0.0
2007-02-08,438.66534362567273,450.0346397887571,437.717902278749,448.3766174316406,3982,0.0,0.0
2007-02-09,437.7652890148586,461.40396360265936,437.7179285101204,453.8244323730469,31896,0.0,0.0
2007-02-12,439.23387316938505,457.614231983946,424.548530321039,447.9503173828125,33862,0.0,0.0
2007-02-13,437.8126851132556,473.6259591541581,437.8126851132556,458.9880065917969,54480,0.0,0.0
2007-02-14,464.2462649626797,483.1950921040136,454.7718513920127,476.7525024414063,24999,0.0,0.0
2007-02-15,492.2905266382444,492.2905266382444,465.19372582110606,471.9679260253906,15502,0.0,0.0
2007-02-19,479.4053499752943,479.4053499752943,467.1359722395311,469.8835754394531,5503,0.0,0.0
2007-02-20,473.72069803756017,478.4579050179358,460.4565184925085,470.2625427246094,108873,0.0,0.0
2007-02-21,473.7206842833199,474.6681256518865,463.7725499133701,464.577880859375,1920,0.0,0.0
2007-02-22,466.1411420630817,466.1411420630817,456.9035889429292,458.087890625,2924,0.0,0.0
2007-02-23,367.607265625,462.35140625,367.607265625,438.191650390625,7067,0.0,0.0
2007-02-26,454.77184720583017,454.77184720583017,416.874193272011,422.1798706054688,7028,0.0,0.0
2007-02-27,429.8068113506576,440.2760568027059,419.7165656124499,423.6958312988281,11240,0.0,0.0
2007-02-28,412.1369562596989,416.8741626534886,378.9765115031714,388.8298950195313,10625,0.0,0.0
2007-03-01,440.5601891170799,440.5601891170799,389.5878605223124,409.0104064941406,2044,0.0,0.0
2007-03-02,408.8209355500759,430.1383655613776,408.8209355500759,417.4426574707031,6941,0.0,0.0
2007-03-05,409.3894132709708,409.3894132709708,355.3852563007553,375.2815246582031,23490,0.0,0.0
2007-03-06,426.3486276453368,426.3486276453368,381.8662425955599,389.0668029785156,5182,0.0,0.0
